⚡ CONTROL GROUP (CPU-ONLY) 6-HOUR BURN STARTED
PID: 1477059
Time: 1772967034
Mode: Pure CPU Izhikevich SNN (No GPU)
✅ CPU SNN Initialized: 10000 neurons
[2h10m] Steps: 773719, v_avg: -70.00
[2h11m] Steps: 779671, v_avg: -70.00
[2h12m] Steps: 785623, v_avg: -70.00
[2h13m] Steps: 791574, v_avg: -70.00
[2h14m] Steps: 797526, v_avg: -70.00
[2h15m] Steps: 803479, v_avg: -70.00
[2h16m] Steps: 809428, v_avg: -70.00
[2h17m] Steps: 815378, v_avg: -70.00
[2h18m] Steps: 821326, v_avg: -70.00
[2h19m] Steps: 827277, v_avg: -70.00
[2h20m] Steps: 833227, v_avg: -70.00
[2h21m] Steps: 839179, v_avg: -70.00
[2h22m] Steps: 845130, v_avg: -70.00
[2h23m] Steps: 851082, v_avg: -70.00
[2h24m] Steps: 857034, v_avg: -70.00
[2h25m] Steps: 862985, v_avg: -70.00
[2h26m] Steps: 868937, v_avg: -70.00
[2h27m] Steps: 874887, v_avg: -70.00
[2h28m] Steps: 880838, v_avg: -70.00
[2h29m] Steps: 886791, v_avg: -70.00
[2h30m] Steps: 892742, v_avg: -70.00
[2h31m] Steps: 898693, v_avg: -70.00
[2h32m] Steps: 904646, v_avg: -70.00
[2h33m] Steps: 910598, v_avg: -70.00
[2h34m] Steps: 916549, v_avg: -70.00
[2h35m] Steps: 922501, v_avg: -70.00
[2h36m] Steps: 928452, v_avg: -70.00
[2h37m] Steps: 934402, v_avg: -70.00
[2h38m] Steps: 940354, v_avg: -70.00
[2h39m] Steps: 946304, v_avg: -70.00
[2h40m] Steps: 952257, v_avg: -70.00
[2h41m] Steps: 958210, v_avg: -70.00
[2h42m] Steps: 964161, v_avg: -70.00
[2h43m] Steps: 970113, v_avg: -70.00
[2h44m] Steps: 976066, v_avg: -70.00
[2h45m] Steps: 982019, v_avg: -70.00
[2h46m] Steps: 987971, v_avg: -70.00
[2h47m] Steps: 993922, v_avg: -70.00
[2h48m] Steps: 999875, v_avg: -70.00
[2h49m] Steps: 1005828, v_avg: -70.00
[2h50m] Steps: 1011780, v_avg: -70.00
[2h51m] Steps: 1017733, v_avg: -70.00
[2h52m] Steps: 1023684, v_avg: -70.00
[2h53m] Steps: 1029636, v_avg: -70.00
[2h54m] Steps: 1035590, v_avg: -70.00
[2h55m] Steps: 1041542, v_avg: -70.00
[2h56m] Steps: 1047494, v_avg: -70.00
[2h57m] Steps: 1053445, v_avg: -70.00
[2h58m] Steps: 1059396, v_avg: -70.00
[2h59m] Steps: 1065347, v_avg: -70.00
[3h0m] Steps: 1071299, v_avg: -70.00
[3h1m] Steps: 1077250, v_avg: -70.00
[3h2m] Steps: 1083202, v_avg: -70.00
[3h3m] Steps: 1089155, v_avg: -70.00
[3h4m] Steps: 1095106, v_avg: -70.00
[3h5m] Steps: 1101058, v_avg: -70.00
[3h6m] Steps: 1107010, v_avg: -70.00
[3h7m] Steps: 1112961, v_avg: -70.00
[3h8m] Steps: 1118912, v_avg: -70.00
[3h9m] Steps: 1124863, v_avg: -70.00
[3h10m] Steps: 1130816, v_avg: -70.00
[3h11m] Steps: 1136768, v_avg: -70.00
[3h12m] Steps: 1142720, v_avg: -70.00
[3h13m] Steps: 1148670, v_avg: -70.00
[3h14m] Steps: 1154620, v_avg: -70.00
[3h15m] Steps: 1160572, v_avg: -70.00
[3h16m] Steps: 1166524, v_avg: -70.00
[3h17m] Steps: 1172476, v_avg: -70.00
[3h18m] Steps: 1178427, v_avg: -70.00
[3h19m] Steps: 1184378, v_avg: -70.00
[3h20m] Steps: 1190329, v_avg: -70.00
[3h21m] Steps: 1196280, v_avg: -70.00
[3h22m] Steps: 1202232, v_avg: -70.00
[3h23m] Steps: 1208184, v_avg: -70.00
[3h24m] Steps: 1214132, v_avg: -70.00
[3h25m] Steps: 1220081, v_avg: -70.00
[3h26m] Steps: 1226033, v_avg: -70.00
[3h27m] Steps: 1231985, v_avg: -70.00
[3h28m] Steps: 1237936, v_avg: -70.00
[3h29m] Steps: 1243887, v_avg: -70.00
[3h30m] Steps: 1249838, v_avg: -70.00
[3h31m] Steps: 1255790, v_avg: -70.00
[3h32m] Steps: 1261742, v_avg: -70.00
[3h33m] Steps: 1267693, v_avg: -70.00
[3h34m] Steps: 1273645, v_avg: -70.00
[3h35m] Steps: 1279596, v_avg: -70.00
[3h36m] Steps: 1285549, v_avg: -70.00
[3h37m] Steps: 1291499, v_avg: -70.00
[3h38m] Steps: 1297452, v_avg: -70.00
[3h39m] Steps: 1303403, v_avg: -70.00
[3h40m] Steps: 1309354, v_avg: -70.00
[3h41m] Steps: 1315304, v_avg: -70.00
[3h42m] Steps: 1321254, v_avg: -70.00
[3h43m] Steps: 1327205, v_avg: -70.00
[3h44m] Steps: 1333157, v_avg: -70.00
[3h45m] Steps: 1339107, v_avg: -70.00
[3h46m] Steps: 1345060, v_avg: -70.00
[3h47m] Steps: 1351011, v_avg: -70.00
[3h48m] Steps: 1356960, v_avg: -70.00
[3h49m] Steps: 1362912, v_avg: -70.00
[3h50m] Steps: 1368861, v_avg: -70.00
[3h51m] Steps: 1374812, v_avg: -70.00
[3h52m] Steps: 1380762, v_avg: -70.00
[3h53m] Steps: 1386717, v_avg: -70.00
[3h54m] Steps: 1392669, v_avg: -70.00
[3h55m] Steps: 1398622, v_avg: -70.00
[3h56m] Steps: 1404577, v_avg: -70.00
[3h57m] Steps: 1410531, v_avg: -70.00
[3h58m] Steps: 1416486, v_avg: -70.00
[3h59m] Steps: 1422437, v_avg: -70.00
[4h0m] Steps: 1428391, v_avg: -70.00
[4h1m] Steps: 1434344, v_avg: -70.00
[4h2m] Steps: 1440298, v_avg: -70.00
[4h3m] Steps: 1446252, v_avg: -70.00
[4h4m] Steps: 1452205, v_avg: -70.00
[4h5m] Steps: 1458157, v_avg: -70.00
[4h6m] Steps: 1464108, v_avg: -70.00
[4h7m] Steps: 1470062, v_avg: -70.00
[4h8m] Steps: 1476015, v_avg: -70.00
[4h9m] Steps: 1481969, v_avg: -70.00
[4h10m] Steps: 1487919, v_avg: -70.00
[4h11m] Steps: 1493873, v_avg: -70.00
[4h12m] Steps: 1499824, v_avg: -70.00
[4h13m] Steps: 1505778, v_avg: -70.00
[4h14m] Steps: 1511731, v_avg: -70.00
[4h15m] Steps: 1517683, v_avg: -70.00
[4h16m] Steps: 1523637, v_avg: -70.00
[4h17m] Steps: 1529590, v_avg: -70.00
[4h18m] Steps: 1535543, v_avg: -70.00
[4h19m] Steps: 1541494, v_avg: -70.00
[4h20m] Steps: 1547447, v_avg: -70.00
[4h21m] Steps: 1553399, v_avg: -70.00
[4h22m] Steps: 1559352, v_avg: -70.00
[4h23m] Steps: 1565304, v_avg: -70.00
[4h24m] Steps: 1571257, v_avg: -70.00
[4h25m] Steps: 1577208, v_avg: -70.00
[4h26m] Steps: 1583161, v_avg: -70.00
[4h27m] Steps: 1589114, v_avg: -70.00
[4h28m] Steps: 1595067, v_avg: -70.00
[4h29m] Steps: 1601019, v_avg: -70.00
[4h30m] Steps: 1606973, v_avg: -70.00
[4h31m] Steps: 1612927, v_avg: -70.00
[4h32m] Steps: 1618880, v_avg: -70.00
[4h33m] Steps: 1624833, v_avg: -70.00
[4h34m] Steps: 1630786, v_avg: -70.00
[4h35m] Steps: 1636739, v_avg: -70.00
[4h36m] Steps: 1642691, v_avg: -70.00
[4h37m] Steps: 1648643, v_avg: -70.00
[4h38m] Steps: 1654598, v_avg: -70.00
[4h39m] Steps: 1660553, v_avg: -70.00
[4h40m] Steps: 1666508, v_avg: -70.00
[4h41m] Steps: 1672462, v_avg: -70.00
[4h42m] Steps: 1678417, v_avg: -70.00
[4h43m] Steps: 1684370, v_avg: -70.00
[4h44m] Steps: 1690324, v_avg: -70.00
[4h45m] Steps: 1696277, v_avg: -70.00
[4h46m] Steps: 1702231, v_avg: -70.00
[4h47m] Steps: 1708185, v_avg: -70.00
[4h48m] Steps: 1714136, v_avg: -70.00
[4h49m] Steps: 1720088, v_avg: -70.00
[4h50m] Steps: 1726041, v_avg: -70.00
[4h51m] Steps: 1731992, v_avg: -70.00
[4h52m] Steps: 1737945, v_avg: -70.00
[4h53m] Steps: 1743898, v_avg: -70.00
[4h54m] Steps: 1749849, v_avg: -70.00
[4h55m] Steps: 1755803, v_avg: -70.00
[4h56m] Steps: 1761757, v_avg: -70.00
[4h57m] Steps: 1767712, v_avg: -70.00
[4h58m] Steps: 1773665, v_avg: -70.00
